Date,Value
29-02-16,437.76
28-02-16,431.57
27-02-16,434.59
26-02-16,426.16
25-02-16,424.41
24-02-16,423.45
23-02-16,429.96
22-02-16,438.44
21-02-16,439.84
20-02-16,431.45
19-02-16,420.47
18-02-16,420.62
17-02-16,415.46
16-02-16,404.48
15-02-16,404.56
14-02-16,400.55
13-02-16,390.47
12-02-16,383.37
11-02-16,379.49
10-02-16,380.59
09-02-16,374.06
08-02-16,377.53
07-02-16,378.12
06-02-16,377.89
05-02-16,388.85
04-02-16,380.05
03-02-16,374.26
02-02-16,376.37
01-02-16,373.83
31-01-16,380.28
30-01-16,380.11
29-01-16,376.98
28-01-16,385.76
27-01-16,396.67
26-01-16,395.14
25-01-16,397.18
24-01-16,397.9
23-01-16,389.74
22-01-16,394.98
21-01-16,415.04
20-01-16,394.47
19-01-16,384.69
18-01-16,383.9
17-01-16,385.45
16-01-16,372.05
15-01-16,402.74
14-01-16,431.89
13-01-16,430.77
12-01-16,448.57
11-01-16,448.58
10-01-16,446.91
09-01-16,452.07
08-01-16,456.09
07-01-16,448.33
06-01-16,432.11
05-01-16,433.72
04-01-16,432.02
03-01-16,431.13
02-01-16,434.35
01-01-16,433.21
31-12-15,426.52
30-12-15,430.09
29-12-15,425.99
28-12-15,425.03
27-12-15,418.46
26-12-15,431.61
25-12-15,455.25
24-12-15,454.43
23-12-15,441.44
22-12-15,439.89
21-12-15,437.71
20-12-15,455.27
19-12-15,464
18-12-15,460.73
17-12-15,455.55
16-12-15,457.64
15-12-15,456.75
14-12-15,441.46
13-12-15,436.49
12-12-15,433.3
11-12-15,432.19
10-12-15,416.74
09-12-15,418.08
08-12-15,397.01
07-12-15,394.44
06-12-15,394.26
05-12-15,374.84
04-12-15,361.51
03-12-15,363.13
02-12-15,356.78
01-12-15,368.9
